Sentence,Font Size,Page Number
Querylanguage,17,1
SubhasisRay,11,1
2023-02-01,11,1
TheRelationalModel,14,2
•”Arelationalmodelofdataforlargeshareddatabanks”byE.F.CoddworkingatIBM(IBMwasslowtoadopthiswork).,12,2
•GlobalDBMSmarketrevenuein2020was80billionUSD,12,2
(https://www.statista.com/).,12,2
NOTE:theseslidesfollowthetextbookDatabaseSystemsbyConnollyandBegg.,12,2
1,8,2
TheRelationalModel,14,3
•Relation:Tablewithcolumnsandrows,12,3
•Attribute:Namedcolumn/fieldofarelation,12,3
•Domain:Setofallowablevaluesforoneormore,12,3
attributes,12,3
•Tuple:Row/recordinarelation,12,3
•Degree:Numberofattributesinarelation,12,3
•Cardinality:Numberoftuplesinarelation,12,3
2,8,3
MathematicsofRelations,14,4
•CartesianproductoftwosetsAandB:thesetofall,12,4
"orderedpairs(x,y)suchthatxϵAandyϵB.",12,4
"•Example:A={2,3},B={1,5,7},then",12,4
"A×B={(2,1),(2,5),(2,7),(3,1),(3,5),(3,7)}",12,4
•AnysubsetofaCartesianproductisarelation.•Thisisextendedtoanyfinitenumberofsets:,12,4
"A×B×C={(x,y,z)|xϵA,yϵB,zϵC}andsoon.S1×S2×···×Sn={(x1,x2,···,xn)|x1ϵS1,x2ϵS2,xnϵSn}Writteninshort:",12,4
"n1Si•Thesetsaredomains,theorderedtuplesare",8,4
∏,12,4
"records/rows.Inmath,ordermatters,indatabaseitdoesnot(aslongasitisthesameforallrows).",12,4
3,8,4
DatabaseRelations,14,5
•Arelationschema-definedbyasetofattributeand,12,5
domainnamepairs.,12,5
"•Arelationaldatabaseisasetoftables,andarelational",12,5
databaseschemaisasetofrelationschemas.,12,5
4,8,5
Keys,14,6
"•Superkey:Anattributeorsetofattributes,thatuniquely",12,6
identifiesatuplewithinarelation.,12,6
"•Candidatekey:Aminimalsuperkey(i.e.,noproper",12,6
subsetofitcanuniquelyidentifyatuple),12,6
•Primarykey:Acandidatekeythathasbeendesignated,12,6
foruniquelyidentifyingtupleswithinarelation.•Foreignkey:Anattributeorsetofattributesthat,12,6
matchesacandidatekeyofsomerelation.Thisisusedformatchingrowsacrosstables-indicatesarelationshipbetweenthetables.,12,6
•View:avirtualrelationthatisderiveddynamicallyfrom,12,6
relationsphysicallystoredinadatabase.,12,6
5,8,6
Abitofrelationalalgebra,14,7
•Selectionσcondition(A):selectrowsbasedoncondition,12,7
(alsocalledpredicate),12,7
